COMPANY,STREET,CITY,STATE,ZIPPOSTAL_CODE,PHONE,TOLLFREE,FAX,EMAIL,WEBSITE,ULTIMATE_PARENT_NAME1,ULTIMATE_PARENT_CITY1,ULTIMATE_PARENT_STATE1,DIRECT_REPORTAGE_NAME1,FAMILY_ROLE1,NAME1,EMAIL1,TITLE2,NAME2,EMAIL2,TITLE3,NAME3,EMAIL3,TITLE4,NAME4,EMAIL4,TITLE5,NAME5,EMAIL5,TITLE6,NAME6,EMAIL6,TITLE7,NAME7,EMAIL7,TITLE8,NAME8,EMAIL8,TITLE9,NAME9,EMAIL9,TITLE10,NAME10,EMAIL10,BUSINESS_DESCRIPTION,YEAR_FOUNDED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TITLE131,NAME131,EMAIL131,TITLE132,NAME132,EMAIL132,TITLE133,NAME133,EMAIL133,TITLE134,NAME134,EMAIL134,TITLE135,NAME135,EMAIL135,TITLE136,NAME136,EMAIL136,TITLE137,NAME137,EMAIL137,TITLE138,NAME138,EMAIL138,TITLE139,NAME139,EMAIL139,TITLE140,NAME140,EMAIL140,TITLE141,NAME141,EMAIL141,TITLE142,NAME142,EMAIL142,TITLE143,NAME143,EMAIL143,TITLE144,NAME144,EMAIL144,TITLE145,NAME145,EMAIL145,TITLE146,NAME146,EMAIL146,TITLE147,NAME147,EMAIL147,TITLE148,NAME148,EMAIL148,TITLE149,NAME149,EMAIL149,DIRECT_REPORTAGE_NAME3,FAMILY_ROLE3
"Starwood Capital Group Global I, LLC",591 W Putnam Ave,Greenwich,CT,6830,(203) 422-7700,,(203) 422-7784,investorrelations@starwood.com,www.starwoodcapital.com,"Starwood Capital Group Global I, LLC",Greenwich,CT,,,Barry Stuart Sternlicht,sternlicht@starwood.com,Vice Chm & CFO,Jerry Silvey,silvey@starwood.com,Sr Mng Dir & Head-Real Estate Acq & Debt Investments,Jeffrey G. Dishner,dishner@starwood.com,Sr Mng Dir & Head-Real Estate Acquisitions-Global,Christopher D. Graham,grahamc@starwood.com,Mng Dir & Head-Asset Mgmt,Mark  Deason,mdeason@starwood.com,Mng Dir & Head-Real Estate-Asia Pacific,Kevin  Lee,Lee@starwood.com,Pres-SH Grp,Arash  Azarbarzin,Azarbarzin@starwood.com,Mng Dir-Global Capital Raising,"John P. McCarthy, Jr.",McCarthy@starwood.com,VP-Hong Kong,James  Fogarty,Fogarty@starwood.com,Head-Intl Hotels,Cody  Bradshaw,Bradshaw@starwood.com,"Founded in 1991, Starwood Capital Group Global LLC is headquartered in Greenwich, CT. The company is a global investment firm. It primarily invests in the in the real estate markets. The company's property trust focuses on originating and investing in commercial mortgage loans and other commercial real estate-related debt investments. It owns the hotels operating under the 1 Hotels & Resorts brand.",1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Statesman Journal,280 Church St NE,Salem,OR,97309-3009,(503) 399-6727,,(503) 399-6706,newsroom@statesmanjournal.com,www.statesmanjournal.com,"Gannett Co., Inc.",McLean,VA,Gannett Media Corp.,Unit,Ryan  Kedzierski,rkedziersk@statesmanjournal.com,Exec Dir,Cherrill Crosby,ccrosby@statesmanjournal.com,Dir-Distr,Paul Nettland,pnettland@gannett.com,Mgr-Acct-Local Retail & Real Estate,Valerie  Thorne,vthorne@statesmanjournal.com,,,,,,,,,,,,,,,,,,,,1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stearns Weaver Miller Weissler Alhadeff & Sitterson, P.A.",150 W Flagler St,Miami,FL,33130,(305) 789-3200,,(305) 789-3395,derrichetti@stearnsweaver.com,www.stearnsweaver.com,,,,,,Steven Klein,sklein@stearnsweaver.com,Dir-HR,Gigi Pena,,Project Mgr-Facilities,Pam Rabin,prabin@stearnsweaver.com,Mgr-Litigation Support,Vivian Quinones,vquinones@stearnsweaver.com,Coord-Collections,Rita Jimenez,rjimenez@stearnsweaver.com,Atty,Bayardo E. Aleman,baleman@stearnsweaver.com,Atty,Stuart D. Ames,sames@stearnsweaver.com,Atty,Thomas G. Aubin,taubin@stearnsweaver.com,Atty,Johnathan T. Ayers,jayers@stearnsweaver.com,Atty,Lawrence J. Bailin,lbailin@stearnsweaver.com,,1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sterling American Property Inc.,111 Great Neck Rd Ste 408,Great Neck,NY,11021,(516) 773-3800,,(516) 773-3849,investorrelations@sterlingamerican.com,www.sterlingamerican.com,,,,,,Fred Wilpon,,Co-Founder & Pres,Saul B. Katz,,Co-CEO-American Funds & Sr Exec VP,Michael  Katz,,Co-CEO-American Funds & Sr Exec VP,Richard A. Wilpon,,CFO,Mark  Peskin,,Chief Investment Officer & Officer-Acquisition,Tarak  Patolia,,Officer-Acquisition & Exec VP,Thomas  Osterman,,Officer-Acquisition & Sr VP,Gregory A. Katz,,Officer-Acquisition & VP,Todd M. Katz,,Gen Counsel,Gregory P. Nero,,"Sterling American Property, Inc. was founded in 1947 and is headquartered in Great Neck, NY. It is a holding company. The company, through its subsidiaries, is engaged in providing real-estate services. Its services include investment, development, relocating, acquisition, appraisals, sales, leasing, and property management. The company also has operations in New York, NY.",1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stites & Harbison, PLLC",400 W Market St Ste 1800,Louisville,KY,40202,(502) 587-3400,,(502) 587-6391,general@stites.com,www.stites.com,,,,,,Robert M. Connolly,rconnolly@stites.com,Partner,Adam  Smith,,Dir-Mktg & Bus Dev,Kim  Schmittel,,Atty-Employment Law Svc Grp-Atlanta,Nina Maja Bergmar,,Atty,Ward Bradford Boone,bboone@stites.com,Atty,Will  Brown,,Atty,Cyndy Buttorff,,Atty,"Charles J. Mike Cronan, IV",ccronan@stites.com,Atty,Katie  Glass,,Atty,"William H. Haden, Jr.",bhaden@stites.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stoel Rives LLP,760 SW 9Th Ave Swe 3000,Portland,OR,97204,(503) 224-3380,,(503) 220-2480,,www.stoel.com,,,,,,Tina M. Grovier,TGrovier@stoel.com,Mng Partner-Seattle,Vanessa Soriano Power,VSPower@stoel.com,Mng Partner-Firm Wide,Jim  Torgerson,JTorgerson@stoel.com,Mng Partner,Bob  Van Brocklin,BVanBrocklin@stoel.com,Mng Partner-Salt Lake City,Scott F. Young,SFYoung@stoel.com,Partner,Steven W. Abel,swabel@stoel.com,Partner,Paul S. Angello,psangello@stoel.com,Partner,Sylvia  Arostegui,SArostegui@stoel.com,Partner,Bethany A. Bacci,babacci@stoel.com,Partner,Martin K. Banks,marty.banks@stoel.com,,1907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stonebridge Realty Advisors, Inc.",4949 S Niagara St Ste 300,Denver,CO,80237,(303) 785-3100,,(303) 785-3199,info@sbcos.com,www.stonebridgecompanies.com,"Stonebridge Realty Advisors, Inc.",Denver,CO,,,Navin C. Dimond,ndimond@sbcos.com,CFO,Trey  O'Shields,,Chief Investment Officer,Jim  Luchars,,Gen Counsel,Howard  Pollack,,Sr VP-Acquisition & Dev,Scott  McChesney,,Reg VP-Ops,Tom  Sprankle,,VP-Design & Construction,Salvatore  Acquilato,,VP-HR,J. B. Bettinger,,VP-Sls & Mktg,Judy  Blattert,,VP-IT,David  Chin,,"Founded in 1991, Stonebridge Realty Advisors, Inc. (d/b/a Stonebridge Companies) is based in Englewood, CO. It is a hotel development and management company. The company deals with acquisitions, hotel design, project and revenue management, and sales and marketing services. It serves the food and beverage, and technology industries. The company also operates in Roanoke, Denver, Aurora, Anchorage, Orange County, and Glendale.",1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stouffer & Associates, LLP",525 Busby,San Antonio,TX,78209,(210) 828-3743,,,,www.stoufferappraisals.com,,,,,,Chris  Jones,,VP-Farm & Ranch & Residential Real Estate Appraisal,Blake T. Stouffer,,Branch Mgr,Robert Hicks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Strasburger & Price, LLP",901 Main St Ste 6000,Dallas,TX,75202,(214) 651-4300,,(214) 651-4330,strasburger@strasburger.com,www.strasburger.com,,,,,,Martin E. Thornthwaite,martin.thornthwaite@strasburger.com,Partner,Sujata  Ajmera,,"Partner-Securities, Food Drug, Device Law & Transportation",Mark Andrews,mark.andrews@strasburger.com,"Partner-Appellate, Comml Litigation, Energy Oil & Land Use",Tom Anson,tom.anson@strasburger.com,Partner-Fin Svcs & Real Estate,Diana J. Bearden,diana.bearden@strasburger.com,"Partner-Estate Plng Trust, Probate & Fiduciary Litigation",Taylor S. Boone,taylor.boone@strasburger.com,"Partner-Energy, Oil & Gas, Corp & Securities",Jules S. Brenner,jules.brenner@strasburger.com,"Partner-Distr, Retail & Tax",Daniel L. Butcher,dan.butcher@strasburger.com,Partner-Fin Svcs & Real Estate,Alison J. Cross,alison.cross@strasburger.com,"Partner-Corp Securities, Energy Oil & Gas",Carol  Glendenning,carol.glendenning@strasburger.com,,1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Streetsense, Inc.",3 Bethesda Metro Ste 140,Bethesda,MD,20814,(301) 652-9020,,(301) 652-9166,info@streetsense.com,www.streetsense.com,,,,,,Marc  Ratner,marc@streetsense.com,Vice Chm,Guy  Silverman,gsilverman@streetsense.com,CEO,Brian  Taff,btaff@streetsense.com,CFO,Leo Zheng Sun,,Chief Admin Officer,Ira  Starr,istarr@streetsense.com,Chief People Officer,Patty Delk,,Mng Principal & VP,Jeff  Pollak,jpollak@streetsense.com,Mng Principal,Eric  Burka,eburka@streetsense.com,Mng Principal,Herb  Heiserman,hheiserman@streetsense.com,Mng Principal-Place,Duk  Kim,dkim@streetsense.com,"Streetsense, Inc. is headquartered in Bethesda, MD. It is an architectural, planning, advertising, and interior design firm. The company offers services such as branding, construction documentation, logo development, marketing, public relations, social media, and web development. It also has operations in Washington, DC.",2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbelt Enterprises,1901 N Rice Ave,Oxnard,CA,93030-7912,(702) 438-4300,,,,www.sunbeltenterprises.com,,,,,,Richard B. Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunoco Inc. (R&M),3801 W Chester Pike,Newtown Square,PA,19073,(610) 833-3555,,(215) 977-3409,,,Energy Transfer LP,Dallas,TX,"Sunoco, Inc.",Subsidiary,Arnnie Dodderer,,Mgr-Safety-Transportation,Ed Patterson,,Mgr-Real Estate,Tony Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunrise Assisted Living of Wayne,184 Berdan Ave Ste 1,Wayne,NJ,7470,(973) 628-4900,,,,www.sunriseseniorliving.com,,,,,,Paul Klaassen,,Co-Founder,Terry Klaassen,,CEO,Chris Winkle,,CFO,Edward Burnett,,CIO,Mike Summers,,Chief Admin Officer,Felipe Mestre,,Chief Acctg Officer,Marc Roder,,"Gen Counsel, Sec & Sr VP",Vanessa Forsythe,,Sr VP-Investments,Ben Adams,,Sr VP-Memory Care & Program Svcs,Rita Altman,,,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunrise Senior Living, LLC",7900 Westpark Dr,McLean,VA,22102,(703) 273-7500,,(703) 744-1601,marketingdesign@sunriseseniorliving.com,www.sunriseseniorliving.com,KKR & Co. Inc.,New York,NY,KKR & Co. Inc.,Joint Venture,Paul J. Klaassen,Paul.Klaassen@sunriseseniorliving.com,Co-Founder,Teresa M. Klaassen,Teresa.Klaassen@sunriseseniorliving.com,CEO,C. Christian Winkle,Chris.Winkle@sunriseseniorliving.com,CFO,Edward Burnett,Edward.Burnett@sunriseseniorliving.com,Chief Admin Officer,Felipe Mestre,Felipe.Mestre@sunriseseniorliving.com,Chief Acctg Officer,Marc Roder,Marc.Roder@sunriseseniorliving.com,"Gen Counsel, Sec & Sr VP",Vanessa Forsythe,Vanessa.Forsythe@sunriseseniorliving.com,Sr VP-Memory Care & Program Svcs,Rita Altman,Rita.Altman@sunriseseniorliving.com,"Sr VP-Construction, Facilities & Design",Andy Coelho,Andy.Coelho@sunriseseniorliving.com,Sr VP-Care,Sue Coppola,Sue.Coppola@sunriseseniorliving.com,"Founded in 1981 and headquartered in McLean, VA, Sunrise Senior Living, LLC is a provider of senior living services. The company, through its subsidiaries, engages in the provision of a full range of personalized senior living services such as assisted living, hospice, short term stay, and rehabilitative care. It has three operating segments: North American Management, Consolidated Communities, and United Kingdom Management. It operates 311 communities with a total unit capacity of approximately 30,733. The company has operations in the US, Canada, and UK. According to the company's latest 10K government filing it had FYE 12/31/2011 revenue of $1.3 billion and has approximately 31,600 employees. In January 2013, the company sold its senior living asset portfolio to Health Care REIT, Inc., while, in a separate deal, its management operations were acquired by KKR & Co. L.P. and Beecken Petty O'Keefe & Company, LLC.",1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunshine Restaurant Partners, LLC",13650 NW 8th St Ste 103,Sunrise,FL,33325,(954) 618-6300,,(954) 618-6472,GuestExperience@srpihop.com,www.ihopsrp.com,,,,,,Raul  Orellana,,CEO,Daniel  Enea,,CFO,John  Salvaggio,,VP-Real Estate,Ian  Allen,,VP-HR,Claudia  Rodriguez,,Controller,Jose Plasencia,,Reg Dir,William Gowanloch,,Dir-Mktg,Janet  Alexander,,Dir-Construction,Christopher Howard,,Dir-Ops-South Florida,Lisa Mendez,,"Sunshine Restaurant Partners was founded in 1961 and is headquartered in Sunrise, FL. The company specializes in owning and operating restaurants. It operates restaurants under the brand name International House of Pancakes. The company's restaurants offer meeting spaces, birthday party and special events organizing services. Its restaurants are located in areas such as Fort Lauderdale, Jacksonville, Gainesville, Miami, Orlando, Tallahassee and Tampa.",1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
